RCT_ID,County
AEARCTR-0005569,
AEARCTR-0005698,
AEARCTR-0005787,
AEARCTR-0005822,Northern
AEARCTR-0005845,Kakamega
AEARCTR-0005940,
AEARCTR-0006001,Nairobi
AEARCTR-0006126,Kiambu
AEARCTR-0006413,Western
AEARCTR-0006577,
AEARCTR-0007166,
AEARCTR-0007265,
AEARCTR-0007424,Nairobi
AEARCTR-0007477,
AEARCTR-0007699,
AEARCTR-0007965,
AEARCTR-0008292,"Mombasa, Nairobi"
AEARCTR-0009021,
AEARCTR-0009075,Nairobi
AEARCTR-0009102,Western
AEARCTR-0009163,Machakos
AEARCTR-0009200,"Kisumu, Siaya"
AEARCTR-0009546,
AEARCTR-0009634,Busia
AEARCTR-0009662,
AEARCTR-0009676,Nairobi
AEARCTR-0009743,Kisumu
AEARCTR-0009911,Nairobi
AEARCTR-0010091,
AEARCTR-0010426,Central
AEARCTR-0010429,
AEARCTR-0010440,
AEARCTR-0010471,
AEARCTR-0010574,
AEARCTR-0011088,
AEARCTR-0011126,Kakamega
AEARCTR-0011205,Nairobi
AEARCTR-0011423,
AEARCTR-0011473,"Bomet, Bungoma, Nyeri, Baringo"
AEARCTR-0011498,
AEARCTR-0011608,
AEARCTR-0011739,
AEARCTR-0011747,
AEARCTR-0011769,Nairobi
AEARCTR-0012044,Western
AEARCTR-0012282,
AEARCTR-0012495,
AEARCTR-0012704,
AEARCTR-0012728,
AEARCTR-0012796,Nairobi
AEARCTR-0003679,Nairobi
